Name,Value.lat,Value.lon,Value.address
"Stonington, New London County, Connecticut, United States of America",41.5187226,-72.0519409,"Stonington Estates, Norwich, Southeastern Connecticut Planning Region, Connecticut, United States"
"La Rochelle, Manche, Basse-Normandie, France",46.159732,-1.1515951,"La Rochelle, Charente-Maritime, Nouvelle-Aquitaine, France métropolitaine, 17000, France"
"Lapraire, Lapraire, Quebec, Canada",45.4797055,-73.5646887,"Rue Laprairie, Pointe-Saint-Charles, Le Sud-Ouest, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H3K 1M8, Canada"
"Guilford, New Haven, Connecticut, USA",41.2976052,-72.9265437,"New Haven Union Station, Union Avenue, Long Wharf, New Haven, South Central Connecticut Planning Region, Connecticut, 06473, United States"
"North Stonington, New London, Connecticut, USA",41.4915013,-72.1237666,"New London, Connecticut, 06382, United States"
"Middletown, Middlesex, Connecticut, USA",41.5461633,-72.6238142,"Connecticut State Veterans Cemetery, 317, Middletown, Lower Connecticut River Valley Planning Region, Connecticut, 06457, United States"
"Hartford, Hartford County, Connecticut, United States of America",43.6349274,-72.3308184,"Connecticut River Road, Hartford, Windsor County, Vermont, 05009, United States"
"Middletown, Middlesex, Connecticut, United States",41.5461633,-72.6238142,"Connecticut State Veterans Cemetery, 317, Middletown, Lower Connecticut River Valley Planning Region, Connecticut, 06457, United States"
"Wethersfield, Hartford County, Connecticut, United States of America",41.7142665,-72.6525922,"Wethersfield, Capitol Planning Region, Connecticut, 06109, United States"
"Goffs Point, Seneca, New York, USA",42.6764593,-76.8230111,"Town of Ovid, Seneca County, New York, 14521, United States"
"Hatsburgh, Devon, , England",50.7241405,-3.6607788,"Devon, England, United Kingdom"
"Canaan, Litchfield, Connecticut, USA",41.747319,-73.1887243,"Litchfield, Northwest Hills Planning Region, Connecticut, United States"
"Glastonbury, Hartford County, Connecticut, United States of America",41.7123218,-72.608146,"Glastonbury, Capitol Planning Region, Connecticut, United States"
"Caldercote, Northamptonshire, England",52.3106138,-0.865913,"Northamptonshire, England, United Kingdom"
"Canaan, Litchfield, Connecticut",41.747319,-73.1887243,"Litchfield, Northwest Hills Planning Region, Connecticut, United States"
"Farmington, Hartford County, Connecticut, United States of America",41.7198216,-72.8320435,"Farmington, Capitol Planning Region, Connecticut, United States"
"Glastonbury, Hartford County, CT, USA",41.7123218,-72.608146,"Glastonbury, Capitol Planning Region, Connecticut, United States"
"Hartford, Hartford County, Connecticut, USA",43.6349274,-72.3308184,"Connecticut River Road, Hartford, Windsor County, Vermont, 05009, United States"
"Lapraire, , Quebec, Canada",45.4797055,-73.5646887,"Rue Laprairie, Pointe-Saint-Charles, Le Sud-Ouest, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H3K 1M8, Canada"
"Raby Castle, Durham, North Carolina, USA",54.5910607,-1.8017245,"Raby Castle, A688, Raby with Keverstone, Staindrop, County Durham, North East, England, DL2 3AF, United Kingdom"
"Stonington, New London, British Colonial America, Connecticut, USA",41.5187226,-72.0519409,"Stonington Estates, Norwich, Southeastern Connecticut Planning Region, Connecticut, United States"
"Colewick, Nottinghamshire, , England",53.1459288,-1.0214971,"Nottinghamshire, East Midlands, England, United Kingdom"
"Guilford, New Haven County, Connecticut, United States of America",41.2976052,-72.9265437,"New Haven Union Station, Union Avenue, Long Wharf, New Haven, South Central Connecticut Planning Region, Connecticut, 06473, United States"
"Kingston Lisle, Berkshire, , England",51.4534889,-1.031873,"Berkshire, Reading, England, United Kingdom"
"Villers Sur Mar, Calvados Aisne, Normandie, France",49.4452254,1.0913423,"Banque de France, 32, Rue Jean Lecanuet, Vieux-Marché-Cathédrale, Quartier Vieux-Marché Cathédrale, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76000, France"
"Canaan, Litchfield, Connecticut, United States",41.747319,-73.1887243,"Litchfield, Northwest Hills Planning Region, Connecticut, United States"
"Ennismore, Victoria, Ontario, Canada",44.4099602,-78.4317746,"Ennismore, Selwyn, Peterborough County, Central Ontario, Ontario, K0L 1T0, Canada"
"Middletown, Middlesex County, Connecticut, United States of America",41.5461633,-72.6238142,"Connecticut State Veterans Cemetery, 317, Middletown, Lower Connecticut River Valley Planning Region, Connecticut, 06457, United States"
"Mortagne, Chartres, Perche, France",48.5205106,0.5501095,"Mortagne-au-Perche, Orne, Normandie, France métropolitaine, 61400, France"
"Piscataway, Middlesex, New Jersey British Colony, America",40.5464326,-74.4660542,"Piscataway Township, Middlesex County, New Jersey, United States"
"St Constant, Canda, Quebec, Canada",45.3724897,-73.5704589,"Saint-Constant, Roussillon, Montérégie, Québec, Canada"
"Norwich, New London County, Connecticut, United States of America",41.4915013,-72.1237666,"New London, Connecticut, 06382, United States"
"Providence, Providence, Rhode Island, Colonial America",41.8239891,-71.4128343,"Providence, Providence County, Rhode Island, United States"
"Southold, Long Island, New York, USA",41.067221,-72.4408007,"Southold, Town of Southold, Suffolk County, New York, 11971, United States"
"Southold, Suffolk, Long Island, New York, USA",41.067221,-72.4408007,"Southold, Town of Southold, Suffolk County, New York, 11971, United States"
"Stratford, Fairfield, Connecticut, USA",41.1923646,-73.1304917,"Stratford, Greater Bridgeport Planning Region, Connecticut, United States"
"Suffolk, Lewis, New York, USA",42.7913482,-77.8240969,"Suffolk Hall, 70, Red Jacket Drive, Village of Geneseo, Town of Geneseo, Livingston County, New York, 14454, United States"
"Wethersfield, Hartford County, Connecticut, USA",41.7142665,-72.6525922,"Wethersfield, Capitol Planning Region, Connecticut, 06109, United States"
"Adams, Berwick, Massachusetts, USA",42.6209431,-73.1204129,"Adams, Berkshire County, Massachusetts, 01220, United States"
